X	Y	Class label
continuous	continuous	Class\ 1 Class\ 2
		class
-0.011	0.512	Class 2
0.123	0.528	Class 2
0.078	0.469	Class 2
0.059	0.510	Class 2
0.050	0.538	Class 2
0.139	0.567	Class 2
0.099	0.499	Class 2
0.128	0.516	Class 2
0.182	0.520	Class 2
0.155	0.450	Class 2
0.164	0.471	Class 2
0.160	0.496	Class 2
0.180	0.487	Class 2
0.217	0.450	Class 2
0.152	0.469	Class 2
0.174	0.465	Class 2
0.134	0.476	Class 2
0.151	0.530	Class 2
0.217	0.418	Class 2
0.145	0.418	Class 2
0.153	0.368	Class 2
0.204	0.397	Class 2
0.144	0.418	Class 2
0.257	0.346	Class 2
0.230	0.417	Class 2
0.240	0.407	Class 2
0.283	0.353	Class 2
0.279	0.367	Class 2
0.241	0.334	Class 2
0.199	0.328	Class 2
0.275	0.291	Class 2
0.307	0.376	Class 2
0.375	0.383	Class 2
0.381	0.357	Class 2
0.313	0.241	Class 2
0.409	0.318	Class 2
0.367	0.298	Class 2
0.368	0.316	Class 2
0.399	0.272	Class 2
0.398	0.277	Class 2
0.501	0.241	Class 2
0.401	0.284	Class 2
0.509	0.290	Class 2
0.481	0.287	Class 2
0.442	0.232	Class 2
0.368	0.183	Class 2
0.536	0.194	Class 2
0.446	0.228	Class 2
0.534	0.180	Class 2
0.455	0.134	Class 2
0.475	0.207	Class 2
0.427	0.266	Class 2
0.557	0.220	Class 2
0.405	0.226	Class 2
0.445	0.191	Class 2
0.494	0.111	Class 2
0.468	0.218	Class 2
0.327	0.246	Class 2
0.473	0.172	Class 2
0.419	0.180	Class 2
0.440	0.155	Class 2
0.458	0.116	Class 2
0.482	0.138	Class 2
0.472	0.211	Class 2
0.533	0.155	Class 2
0.447	0.172	Class 2
0.453	0.127	Class 2
0.438	0.174	Class 2
0.468	0.181	Class 2
0.518	0.168	Class 2
0.460	0.159	Class 2
0.484	0.072	Class 2
0.286	0.598	Class 1
0.256	0.631	Class 1
0.242	0.618	Class 1
0.180	0.650	Class 1
0.344	0.622	Class 1
0.322	0.607	Class 1
0.324	0.605	Class 1
0.223	0.590	Class 1
0.352	0.580	Class 1
0.337	0.622	Class 1
0.251	0.607	Class 1
0.254	0.592	Class 1
0.450	0.609	Class 1
0.267	0.623	Class 1
0.313	0.628	Class 1
0.291	0.480	Class 1
0.392	0.593	Class 1
0.315	0.555	Class 1
0.394	0.549	Class 1
0.313	0.546	Class 1
0.399	0.508	Class 1
0.386	0.488	Class 1
0.404	0.498	Class 1
0.531	0.498	Class 1
0.451	0.429	Class 1
0.403	0.498	Class 1
0.517	0.476	Class 1
0.477	0.354	Class 1
0.506	0.463	Class 1
0.575	0.369	Class 1
0.622	0.384	Class 1
0.652	0.344	Class 1
0.634	0.385	Class 1
0.633	0.330	Class 1
0.620	0.342	Class 1
0.711	0.378	Class 1
0.655	0.368	Class 1
0.620	0.315	Class 1
0.694	0.368	Class 1
0.732	0.305	Class 1
0.695	0.367	Class 1
0.630	0.287	Class 1
0.761	0.341	Class 1
0.701	0.314	Class 1
0.792	0.310	Class 1
0.784	0.308	Class 1
0.833	0.280	Class 1
0.756	0.315	Class 1
0.711	0.307	Class 1
0.752	0.346	Class 1
0.753	0.247	Class 1
0.792	0.234	Class 1
0.753	0.290	Class 1
0.816	0.259	Class 1
0.762	0.265	Class 1
0.787	0.263	Class 1
0.890	0.251	Class 1
0.761	0.293	Class 1
0.824	0.251	Class 1
0.768	0.213	Class 1
0.834	0.248	Class 1
0.770	0.196	Class 1
0.845	0.232	Class 1
0.912	0.256	Class 1
0.838	0.258	Class 1
0.882	0.184	Class 1
0.575	0.555	Class 1
0.596	0.537	Class 1
0.537	0.529	Class 1
0.642	0.527	Class 1
0.562	0.541	Class 1
0.536	0.526	Class 1
0.622	0.485	Class 1
0.509	0.546	Class 1
0.535	0.501	Class 1
0.653	0.462	Class 1
0.746	0.481	Class 1
0.624	0.510	Class 1
