X	Y	Class label
continuous	continuous	Class\ 1 Class\ 2
		class
0.346	0.684	Class 1
0.356	0.668	Class 1
0.273	0.672	Class 1
0.318	0.651	Class 1
0.296	0.752	Class 1
0.303	0.733	Class 1
0.265	0.689	Class 1
0.285	0.678	Class 1
0.304	0.687	Class 1
0.243	0.686	Class 1
0.298	0.650	Class 1
0.280	0.622	Class 1
0.308	0.696	Class 1
0.341	0.696	Class 1
0.231	0.661	Class 1
0.220	0.608	Class 1
0.347	0.651	Class 1
0.214	0.707	Class 1
0.213	0.670	Class 1
0.330	0.730	Class 1
0.137	0.722	Class 1
0.209	0.701	Class 1
0.160	0.627	Class 1
0.221	0.708	Class 1
0.183	0.663	Class 1
0.210	0.699	Class 1
0.276	0.658	Class 1
0.215	0.566	Class 1
0.220	0.668	Class 1
0.190	0.684	Class 1
0.285	0.690	Class 1
0.220	0.673	Class 1
0.218	0.657	Class 1
0.292	0.636	Class 1
0.161	0.655	Class 1
0.178	0.673	Class 1
0.136	0.630	Class 1
0.215	0.602	Class 1
0.156	0.677	Class 1
0.301	0.627	Class 1
0.122	0.640	Class 1
0.183	0.633	Class 1
0.106	0.597	Class 1
0.156	0.572	Class 1
0.202	0.613	Class 1
0.166	0.607	Class 1
0.115	0.598	Class 1
0.291	0.558	Class 1
0.195	0.589	Class 1
0.179	0.540	Class 1
0.185	0.597	Class 1
0.234	0.575	Class 1
0.148	0.562	Class 1
0.223	0.554	Class 1
0.220	0.503	Class 1
0.196	0.508	Class 1
0.209	0.554	Class 1
0.237	0.575	Class 1
0.172	0.553	Class 1
0.208	0.527	Class 1
0.217	0.475	Class 1
0.149	0.512	Class 1
0.250	0.462	Class 1
0.192	0.405	Class 1
0.283	0.470	Class 1
0.136	0.524	Class 1
0.210	0.483	Class 1
0.264	0.412	Class 1
0.156	0.440	Class 1
0.167	0.480	Class 1
0.119	0.406	Class 1
0.142	0.477	Class 1
0.137	0.451	Class 1
0.123	0.458	Class 1
0.191	0.431	Class 1
0.202	0.384	Class 1
0.244	0.338	Class 1
0.193	0.420	Class 1
0.130	0.451	Class 1
0.228	0.423	Class 1
0.207	0.403	Class 1
0.194	0.400	Class 1
0.146	0.360	Class 1
0.163	0.341	Class 1
0.205	0.377	Class 1
0.208	0.348	Class 1
0.238	0.326	Class 1
0.164	0.324	Class 1
0.237	0.371	Class 1
0.247	0.327	Class 1
0.205	0.330	Class 1
0.152	0.343	Class 1
0.202	0.408	Class 1
0.297	0.343	Class 1
0.183	0.335	Class 1
0.301	0.332	Class 1
0.213	0.351	Class 1
0.312	0.288	Class 1
0.225	0.366	Class 1
0.306	0.287	Class 1
0.246	0.303	Class 1
0.317	0.302	Class 1
0.424	0.270	Class 1
0.368	0.328	Class 1
0.289	0.334	Class 1
0.300	0.351	Class 1
0.322	0.276	Class 1
0.284	0.287	Class 1
0.314	0.282	Class 1
0.311	0.320	Class 1
0.279	0.279	Class 1
0.349	0.308	Class 1
0.357	0.272	Class 1
0.300	0.266	Class 1
0.366	0.274	Class 1
0.327	0.264	Class 1
0.318	0.276	Class 1
0.418	0.306	Class 1
0.380	0.281	Class 1
0.443	0.249	Class 1
0.419	0.295	Class 1
0.400	0.264	Class 1
0.486	0.273	Class 1
0.421	0.335	Class 1
0.383	0.304	Class 1
0.494	0.294	Class 1
0.417	0.220	Class 1
0.429	0.286	Class 1
0.435	0.285	Class 1
0.399	0.170	Class 1
0.529	0.237	Class 1
0.416	0.259	Class 1
0.496	0.284	Class 1
0.575	0.261	Class 1
0.465	0.243	Class 1
0.513	0.238	Class 1
0.595	0.277	Class 1
0.561	0.305	Class 1
0.542	0.300	Class 1
0.530	0.325	Class 1
0.584	0.273	Class 1
0.541	0.298	Class 1
0.534	0.290	Class 1
0.619	0.291	Class 1
0.565	0.249	Class 1
0.468	0.291	Class 1
0.627	0.212	Class 1
0.486	0.268	Class 1
0.550	0.315	Class 1
0.481	0.312	Class 1
0.589	0.258	Class 1
0.567	0.295	Class 1
0.606	0.331	Class 1
0.573	0.290	Class 1
0.643	0.282	Class 1
0.634	0.316	Class 1
0.657	0.276	Class 1
0.617	0.332	Class 1
0.632	0.274	Class 1
0.711	0.284	Class 1
0.687	0.301	Class 1
0.703	0.304	Class 1
0.632	0.272	Class 1
0.637	0.311	Class 1
0.646	0.293	Class 1
0.711	0.340	Class 1
0.692	0.331	Class 1
0.601	0.291	Class 1
0.660	0.328	Class 1
0.632	0.303	Class 1
0.741	0.351	Class 1
0.663	0.309	Class 1
0.774	0.321	Class 1
0.692	0.334	Class 1
0.698	0.351	Class 1
0.678	0.364	Class 1
0.606	0.321	Class 1
0.740	0.340	Class 1
0.783	0.276	Class 1
0.757	0.323	Class 1
0.779	0.344	Class 1
0.734	0.401	Class 1
0.692	0.389	Class 1
0.663	0.347	Class 1
0.664	0.331	Class 1
0.707	0.387	Class 1
0.746	0.394	Class 1
0.698	0.309	Class 1
0.695	0.369	Class 1
0.851	0.359	Class 1
0.759	0.377	Class 1
0.754	0.359	Class 1
0.627	0.351	Class 1
0.791	0.373	Class 1
0.686	0.328	Class 1
0.564	0.489	Class 2
0.536	0.516	Class 2
0.556	0.505	Class 2
0.447	0.479	Class 2
0.526	0.413	Class 2
0.460	0.435	Class 2
0.546	0.501	Class 2
0.490	0.430	Class 2
0.492	0.518	Class 2
0.514	0.481	Class 2
0.405	0.493	Class 2
0.468	0.511	Class 2
0.469	0.472	Class 2
0.472	0.493	Class 2
0.511	0.487	Class 2
0.517	0.477	Class 2
0.401	0.464	Class 2
0.483	0.507	Class 2
0.450	0.464	Class 2
0.529	0.497	Class 2
0.525	0.489	Class 2
0.482	0.561	Class 2
0.533	0.447	Class 2
0.501	0.489	Class 2
0.527	0.484	Class 2
0.418	0.513	Class 2
0.489	0.535	Class 2
0.521	0.479	Class 2
0.470	0.550	Class 2
0.522	0.497	Class 2
0.519	0.550	Class 2
0.482	0.502	Class 2
0.532	0.523	Class 2
0.538	0.486	Class 2
0.513	0.510	Class 2
0.495	0.473	Class 2
0.507	0.605	Class 2
0.456	0.570	Class 2
0.430	0.522	Class 2
0.506	0.495	Class 2
0.528	0.488	Class 2
0.574	0.515	Class 2
0.546	0.549	Class 2
0.484	0.524	Class 2
0.539	0.551	Class 2
0.554	0.542	Class 2
0.477	0.507	Class 2
0.461	0.503	Class 2
0.502	0.498	Class 2
0.522	0.509	Class 2
0.517	0.542	Class 2
0.552	0.546	Class 2
0.469	0.500	Class 2
0.513	0.505	Class 2
0.505	0.557	Class 2
0.465	0.506	Class 2
0.398	0.534	Class 2
0.537	0.515	Class 2
0.444	0.525	Class 2
0.459	0.504	Class 2
0.443	0.487	Class 2
0.461	0.499	Class 2
0.400	0.477	Class 2
0.557	0.531	Class 2
0.416	0.493	Class 2
0.423	0.532	Class 2
0.508	0.567	Class 2
0.557	0.473	Class 2
0.525	0.485	Class 2
0.514	0.521	Class 2
0.501	0.526	Class 2
0.466	0.499	Class 2
0.479	0.590	Class 2
0.536	0.498	Class 2
0.495	0.497	Class 2
0.521	0.454	Class 2
0.437	0.524	Class 2
0.533	0.540	Class 2
0.615	0.483	Class 2
0.522	0.528	Class 2
0.561	0.495	Class 2
0.625	0.483	Class 2
0.604	0.535	Class 2
0.559	0.483	Class 2
0.494	0.482	Class 2
0.501	0.534	Class 2
0.549	0.508	Class 2
0.530	0.510	Class 2
0.499	0.551	Class 2
0.550	0.464	Class 2
0.537	0.478	Class 2
0.564	0.469	Class 2
0.527	0.512	Class 2
0.604	0.509	Class 2
0.562	0.431	Class 2
0.493	0.536	Class 2
0.551	0.544	Class 2
0.523	0.474	Class 2
0.583	0.537	Class 2
0.553	0.449	Class 2
0.536	0.465	Class 2
0.582	0.479	Class 2
0.543	0.503	Class 2
0.588	0.518	Class 2
0.515	0.457	Class 2
0.622	0.552	Class 2
0.583	0.480	Class 2
0.640	0.468	Class 2
0.300	0.403	Class 2
0.351	0.463	Class 2
0.300	0.401	Class 2
0.255	0.431	Class 2
0.319	0.406	Class 2
0.232	0.448	Class 2
0.291	0.447	Class 2
0.376	0.491	Class 2
0.144	0.450	Class 2
0.294	0.454	Class 2
0.311	0.414	Class 2
0.356	0.454	Class 2
0.314	0.390	Class 2
0.316	0.446	Class 2
0.362	0.393	Class 2
0.361	0.406	Class 2
0.381	0.423	Class 2
0.302	0.410	Class 2
0.476	0.359	Class 2
0.512	0.398	Class 2
0.493	0.321	Class 2
0.505	0.364	Class 2
0.610	0.376	Class 2
0.502	0.388	Class 2
0.354	0.611	Class 2
0.340	0.583	Class 2
0.299	0.522	Class 2
0.678	0.420	Class 2
0.655	0.421	Class 2
0.683	0.438	Class 2
0.373	0.549	Class 2
0.344	0.600	Class 2
0.366	0.569	Class 2
0.365	0.593	Class 2
0.329	0.543	Class 2
0.308	0.476	Class 2
0.318	0.504	Class 2
0.361	0.498	Class 2
0.369	0.548	Class 2
0.161	0.511	Class 2
0.203	0.502	Class 2
0.194	0.578	Class 2
0.449	0.349	Class 2
0.527	0.411	Class 2
0.409	0.331	Class 2
